"Reviewed_by_Group_Name","Date","searchtext","Parcel_ID","address","address_ver","address_rev","Property_Type","Other_Please_elaborate","General_Property_Information","X_of_Stories","X_1_Minor_Defects_check_all_th.MIN_NP","X_1_Minor_Defects_check_all_th.MIN_RFSWY","X_1_Minor_Defects_check_all_th.MIN_RFTILE","X_1_Minor_Defects_check_all_th.MIN_FOUND","X_1_Minor_Defects_check_all_th.MIN_WINDDO","X_1_Minor_Defects_check_all_th.MIN_WINDPAN","X_1_Minor_Defects_check_all_th.MIN_UNFINW","X_1_Minor_Defects_check_all_th.MIN_MISSDA","X_1_Minor_Defects_check_all_th.MIN_INSUL","X_1_Minor_Defects_check_all_th.MIN_ROT","X_1_Minor_Defects_check_all_th.MIN_RAILS","X_1_Minor_Defects_check_all_th.MIN_PORCH","X_1_Minor_Defects_check_all_th.MIN_PORJUNK","X_1_Minor_Defects_check_all_th.MIN_CHIMN","X_1_Minor_Defects_check_all_th.MIN_PAINT","X_1_Minor_Defects_check_all_th.MIN_GUTTER","X_2_Major_Defects_check_all_th.MAJ_NP","X_2_Major_Defects_check_all_th.MAJ_RFSWY","X_2_Major_Defects_check_all_th.MAJ_RFTILE","X_2_Major_Defects_check_all_th.MAJ_FOUND","X_2_Major_Defects_check_all_th.MAJ_WINDDO","X_2_Major_Defects_check_all_th.MAJ_SIDING","X_2_Major_Defects_check_all_th.MAJ_ROT","X_2_Major_Defects_check_all_th.MAJ_PORCH","X_2_Major_Defects_check_all_th.MAJ_CHIMN","X_3_Yard.YARD_SATIS","X_3_Yard.YARD_MOW","X_3_Yard.YARD_OVRGR","X_3_Yard.YARD_VHINOP","X_3_Yard.YARD_VHPARK","X_3_Yard.YARD_GRCOV","X_3_Yard.YARD_MAJCL","X_4_General_Condition_Aesthetic","X_5_Comments","Attach_a_picture_of_the_proper_1","Attach_a_picture_of_the_proper_2","Attach_a_picture_of_the_proper_3","Attach_a_picture_of_the_proper_4","start","end","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes","X_version","X_duration","X_submitted_by","ParcelID"
"Jamie",2016-06-07,"M0120109","M0120109000","NA","No","324 Edwards St","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good","Wooden ramp to porch in front","http://classic.ona.io/api/v1/files/2035249?filename=communitymapuga/attachments/1465313019178.jpg","http://classic.ona.io/api/v1/files/2035248?filename=communitymapuga/attachments/1465313055468.jpg",NA,NA,2016-06-07 11:20:28,2016-06-07 11:24:19,"uuid:2e8e0a44-3908-4b36-8a5f-e9c852bac4d9","2e8e0a44-3908-4b36-8a5f-e9c852bac4d9","2016-06-30T16:08:21",NA,NA,201606011515,231,"communitymapuga","M0120109000"
"Taylor",2016-06-07,"M0140177","M0140177000","NA","No","109 Williams Street","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035250?filename=communitymapuga/attachments/1465310366122.jpg",NA,NA,NA,2016-06-07 10:33:02,2016-06-07 10:39:55,"uuid:daa3a51b-2e9a-4e16-af48-92f5efcd5c69","daa3a51b-2e9a-4e16-af48-92f5efcd5c69","2016-06-30T16:08:22",NA,NA,201606011515,413,"communitymapuga","M0140177000"
"Jamie",2016-06-07,"M0130063","M0130063000","NA","No","400 Edwards St","SF_NOGAR",NA,"OCCUP","two","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035254?filename=communitymapuga/attachments/1465313331377.jpg",NA,NA,NA,2016-06-07 11:25:12,2016-06-07 11:28:58,"uuid:e0589164-9bae-4092-b7df-7f5b6c1ed741","e0589164-9bae-4092-b7df-7f5b6c1ed741","2016-06-30T16:08:25",NA,NA,201606011515,226,"communitymapuga","M0130063000"
"Taylor",2016-06-07,"M0140176","M0140176000","NA","No","113 Williams Street","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035256?filename=communitymapuga/attachments/1465310657381.jpg",NA,NA,NA,2016-06-07 10:40:22,2016-06-07 10:44:24,"uuid:6957bd84-c110-44e8-b3c1-0b6d20210d38","6957bd84-c110-44e8-b3c1-0b6d20210d38","2016-06-30T16:08:25",NA,NA,201606011515,242,"communitymapuga","M0140176000"
"Jamie",2016-06-07,"M0120100","M0120100000","NA","No","206 Bold Springs Av","SF_NOGAR",NA,"VACANT1","one","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair","A little overgrowth","http://classic.ona.io/api/v1/files/2035257?filename=communitymapuga/attachments/1465313886475.jpg",NA,NA,NA,2016-06-07 11:34:20,2016-06-07 11:38:18,"uuid:5702a7a2-fe96-43ac-b14e-c10e9e96a478","5702a7a2-fe96-43ac-b14e-c10e9e96a478","2016-06-30T16:08:28",NA,NA,201606011515,238,"communitymapuga","M0120100000"
"Taylor",2016-06-07,"M0140181","M0140181000","NA","No","116 Williams street","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035258?filename=communitymapuga/attachments/1465310812127.jpg",NA,NA,NA,2016-06-07 10:44:48,2016-06-07 11:00:15,"uuid:2429260a-059a-4f17-a20b-3da3f6f20f67","2429260a-059a-4f17-a20b-3da3f6f20f67","2016-06-30T16:08:29",NA,NA,201606011515,927,"communitymapuga","M0140181000"
"Jamie",2016-06-07,"M0120097","M0120097000","NA","No","118 Bold Springs Av","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair","No house numbers","http://classic.ona.io/api/v1/files/2035259?filename=communitymapuga/attachments/1465314102497.jpg",NA,NA,NA,2016-06-07 11:39:34,2016-06-07 11:41:49,"uuid:fcaff123-1a83-4c87-bd51-fada785dcd4c","fcaff123-1a83-4c87-bd51-fada785dcd4c","2016-06-30T16:08:31",NA,NA,201606011515,135,"communitymapuga","M0120097000"
"Taylor",2016-06-07,"M0140203","M0140203000","NA","No","258 N Midland Av ","DUPLEX",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035260?filename=communitymapuga/attachments/1465311033587.jpg",NA,NA,NA,2016-06-07 10:47:41,2016-06-07 10:50:40,"uuid:5527b48f-b320-4484-9719-84465a6978ac","5527b48f-b320-4484-9719-84465a6978ac","2016-06-30T16:08:31",NA,NA,201606011515,179,"communitymapuga","M0140203000"
"Jamie",2016-06-07,"M0120095","M0120095000","NA","No","111 Bold Springs Av","SF_GAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035261?filename=communitymapuga/attachments/1465314307768.jpg",NA,NA,NA,2016-06-07 11:42:47,2016-06-07 11:45:34,"uuid:b594e772-b220-4798-8760-3405edf5c064","b594e772-b220-4798-8760-3405edf5c064","2016-06-30T16:08:33",NA,NA,201606011515,167,"communitymapuga","M0120095000"
"Taylor",2016-06-07,"M0120098","M0120098000","NA","No","304 n Midland av","SF_NOGAR",NA,"OCCUP","one","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035262?filename=communitymapuga/attachments/1465311285030.jpg",NA,NA,NA,2016-06-07 10:52:34,2016-06-07 10:54:48,"uuid:745b90f8-d3b5-42e6-a61e-4b93dc730efd","745b90f8-d3b5-42e6-a61e-4b93dc730efd","2016-06-30T16:08:36",NA,NA,201606011515,134,"communitymapuga","M0120098000"
"Jamie",2016-06-07,"M0120094","M0120094000","NA","No","109 Bold Springs Av","SF_NOGAR",NA,"OCCUP","one","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035263?filename=communitymapuga/attachments/1465314613165.jpg",NA,NA,NA,2016-06-07 11:48:16,2016-06-07 11:50:17,"uuid:2e9fa798-a107-4bd1-a5f2-3c47e89fddbf","2e9fa798-a107-4bd1-a5f2-3c47e89fddbf","2016-06-30T16:08:38",NA,NA,201606011515,121,"communitymapuga","M0120094000"
"Taylor",2016-06-07,"M0120102","M0120102000","NA","No","301 Edward's Street","SF_GAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035264?filename=communitymapuga/attachments/1465311781373.jpg",NA,NA,NA,2016-06-07 11:01:35,2016-06-07 11:03:06,"uuid:26953adc-5004-4f43-bb73-3a28e33d0dbe","26953adc-5004-4f43-bb73-3a28e33d0dbe","2016-06-30T16:08:39",NA,NA,201606011515,91,"communitymapuga","M0120102000"
"Jamie",2016-06-07,"M0140001","M0140001000","NA","No","301 Broad St","SF_NOGAR",NA,"OCCUP","two","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035265?filename=communitymapuga/attachments/1465315031060.jpg",NA,NA,NA,2016-06-07 11:55:36,2016-06-07 11:57:17,"uuid:8a00d15a-02a8-4858-aab3-01aa239b61c7","8a00d15a-02a8-4858-aab3-01aa239b61c7","2016-06-30T16:08:40",NA,NA,201606011515,101,"communitymapuga","M0140001000"
"Taylor",2016-06-07,"M0120104","M0120104000","NA","No","307 Edward's St","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035266?filename=communitymapuga/attachments/1465311986228.jpg",NA,NA,NA,2016-06-07 11:04:18,2016-06-07 11:06:30,"uuid:0cc0609a-aceb-4e34-bcc9-e7cdea59d1e8","0cc0609a-aceb-4e34-bcc9-e7cdea59d1e8","2016-06-30T16:08:41",NA,NA,201606011515,132,"communitymapuga","M0120104000"
"Taylor",2016-06-07,"M0160075","M0160075000","NA","No","210 Boulevard","SF_GAR",NA,"OCCUP","two","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035267?filename=communitymapuga/attachments/1465332129895.jpg",NA,NA,NA,2016-06-07 16:39:33,2016-06-07 16:42:17,"uuid:519fa2a6-ff6a-4886-b8e3-a601cb1d1a5b","519fa2a6-ff6a-4886-b8e3-a601cb1d1a5b","2016-06-30T16:08:42",NA,NA,201606011515,164,"communitymapuga","M0160075000"
"Taylor",2016-06-07,"M0120105","M0120105000","NA","No","311 Edwards St","SF_NOGAR",NA,"OCCUP","two","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035272?filename=communitymapuga/attachments/1465312152571.jpg",NA,NA,NA,2016-06-07 11:06:55,2016-06-07 11:09:18,"uuid:0764b872-dda3-4259-8449-6b0fb427f942","0764b872-dda3-4259-8449-6b0fb427f942","2016-06-30T16:08:44",NA,NA,201606011515,143,"communitymapuga","M0120105000"
"Taylor",2016-06-07,"M0160086","M0160086000","NA","No","213 boulevard","SF_NOGAR",NA,"OCCUP","two","False","False","False","False","False","False","False","True","False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","Fair","Fence falling apart ","http://classic.ona.io/api/v1/files/2035274?filename=communitymapuga/attachments/1465332327095.jpg","http://classic.ona.io/api/v1/files/2035273?filename=communitymapuga/attachments/1465332346057.jpg",NA,NA,2016-06-07 16:42:30,2016-06-07 16:45:50,"uuid:40ba82ee-e58d-4763-a37e-2ade4a758987","40ba82ee-e58d-4763-a37e-2ade4a758987","2016-06-30T16:08:45",NA,NA,201606011515,200,"communitymapuga","M0160086000"
"Taylor",2016-06-07,"M0120112","M0120112000","NA","No","315 Edwards St","SF_NOGAR",NA,"VACANT1","two","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","Poor","House in good shape, yard needs lots of work. Vacant / for sale","http://classic.ona.io/api/v1/files/2035279?filename=communitymapuga/attachments/1465312468047.jpg",NA,NA,NA,2016-06-07 11:10:06,2016-06-07 11:14:34,"uuid:58a4501d-6d2f-44c1-9548-2ff48081c5e3","58a4501d-6d2f-44c1-9548-2ff48081c5e3","2016-06-30T16:08:46",NA,NA,201606011515,268,"communitymapuga","M0120112000"
"Taylor",2016-06-07,"M0160083","M0160083000","NA","No","225 boulevard","SF_NOGAR",NA,"OCCUP","two","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035280?filename=communitymapuga/attachments/1465332513736.jpg",NA,NA,NA,2016-06-07 16:45:59,2016-06-07 16:48:40,"uuid:092900af-35ed-417c-84f5-d6732416c64d","092900af-35ed-417c-84f5-d6732416c64d","2016-06-30T16:08:49",NA,NA,201606011515,161,"communitymapuga","M0160083000"
"Taylor",2016-06-07,"M0120111","M0120111000","NA","No","321 Edwards St","SF_GAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035281?filename=communitymapuga/attachments/1465312680640.jpg",NA,NA,NA,2016-06-07 11:16:23,2016-06-07 11:18:05,"uuid:5b9f3d9f-b469-4da0-9bf9-8808697414a8","5b9f3d9f-b469-4da0-9bf9-8808697414a8","2016-06-30T16:08:50",NA,NA,201606011515,102,"communitymapuga","M0120111000"
"Taylor",2016-06-07,"M0160077","M0160077000","NA","No","226 boulevard","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good","No house numbers","http://classic.ona.io/api/v1/files/2035282?filename=communitymapuga/attachments/1465332643574.jpg",NA,NA,NA,2016-06-07 16:48:52,2016-06-07 16:54:23,"uuid:7ab312b7-f339-4794-9c80-861a2aa123dd","7ab312b7-f339-4794-9c80-861a2aa123dd","2016-06-30T16:08:51",NA,NA,201606011515,331,"communitymapuga","M0160077000"
"Taylor",2016-06-07,"M0120110","M0120110000","NA","No","323 Edwards St","SF_NOGAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035283?filename=communitymapuga/attachments/1465312818484.jpg",NA,NA,NA,2016-06-07 11:19:05,2016-06-07 11:20:27,"uuid:96efca87-0574-4287-a1a7-0d30f07589c3","96efca87-0574-4287-a1a7-0d30f07589c3","2016-06-30T16:08:52",NA,NA,201606011515,82,"communitymapuga","M0120110000"
"Taylor",2016-06-07,"M0160078","M0160078000","NA","No","230 boulevard","SF_GAR",NA,"OCCUP","one","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035284?filename=communitymapuga/attachments/1465333032370.jpg",NA,NA,NA,2016-06-07 16:54:25,2016-06-07 16:57:16,"uuid:ae9ede74-cf61-4026-9b1f-f10c8dcf19f5","ae9ede74-cf61-4026-9b1f-f10c8dcf19f5","2016-06-30T16:08:54",NA,NA,201606011515,171,"communitymapuga","M0160078000"
"Taylor",2016-06-07,"M0120114","M0120114000","NA","No","325 Edwards St","SF_GAR",NA,"UNKNOWN","one","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035285?filename=communitymapuga/attachments/1465313114761.jpg",NA,NA,NA,2016-06-07 11:22:56,2016-06-07 11:25:18,"uuid:8a3f78f4-866f-478d-a628-1d8d4ede525a","8a3f78f4-866f-478d-a628-1d8d4ede525a","2016-06-30T16:08:55",NA,NA,201606011515,142,"communitymapuga","M0120114000"
"Taylor",2016-06-07,"M0160079","M0160079000","NA","No","234 boulevard","SF_NOGAR",NA,"OCCUP","two","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Fair",NA,"http://classic.ona.io/api/v1/files/2035286?filename=communitymapuga/attachments/1465333286512.jpg",NA,NA,NA,2016-06-07 16:58:30,2016-06-07 17:01:34,"uuid:b750d330-11fc-4258-a5a9-06413a572863","b750d330-11fc-4258-a5a9-06413a572863","2016-06-30T16:08:57",NA,NA,201606011515,184,"communitymapuga","M0160079000"
"Taylor",2016-06-07,"M0120099","M0120099000","NA","No","308 n Midland av","SF_GAR",NA,"OCCUP","one","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035287?filename=communitymapuga/attachments/1465313927043.jpg",NA,NA,NA,2016-06-07 11:35:33,2016-06-07 11:38:50,"uuid:c7e43cbb-be7a-4e11-a1c1-dba4bedcf111","c7e43cbb-be7a-4e11-a1c1-dba4bedcf111","2016-06-30T16:08:58",NA,NA,201606011515,197,"communitymapuga","M0120099000"
"Taylor",2016-06-07,"M0160080","M0160080000","NA","No","236 boulevard","SF_GAR",NA,"FOR_SALE","two","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","Good",NA,"http://classic.ona.io/api/v1/files/2035288?filename=communitymapuga/attachments/1465333402866.jpg",NA,NA,NA,2016-06-07 17:01:37,2016-06-07 17:03:30,"uuid:59a9d376-e3b6-4770-9c79-42eb54b3cf3b","59a9d376-e3b6-4770-9c79-42eb54b3cf3b","2016-06-30T16:08:59",NA,NA,201606011515,113,"communitymapuga","M0160080000"
